LISTS READ BY SPEAKERS																											
ARABIC SPEAKER RECOGNITION PROJECT 																											
																											
FEMALE SPEAKERS																											
																											
																											
																											
							1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16					
N	Speaker ID	Order	Origin	Type	Nationality	Age	1.SAAB sentences_1	1.SAAB sentences_2	2.Fixed Sentences	3.Numbers	4.Common Words_1	 4.Common Words_2	5.Rich Words_1	5.Rich Words_2	7.Paragraph_1	7.Paragraph_2	6.Phonetic_Distinctive Words_1	6.Phonetic_Distinctive Words_2	8.Common_List	9.Random_List	10.Questions_1	10.Questions_2					
							SB1	SB2	FS0	NM0	CW1	CW2	RW1	RW2	PG1	PG1	PW1	PW2	CL0	RS0	QA1	QA2					
1	NS1			A	YE	22	SAS_1_1	SAS_2_1	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_1	5_RWR_2_1	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
2	NS2			A	YE	20	SAS_1_2	SAS_2_2	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_2	5_RWR_2_2	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX2	10_QST_1	10_QST_2					
3	NS3			A	EG	22	SAS_1_3	SAS_2_3	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_3	5_RWR_2_3	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX3	10_QST_1	10_QST_2					
4	NS4			A	PL	21	SAS_1_4	SAS_2_4	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_4	5_RWR_2_4	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
5	NS5			A	YE	20	SAS_1_5	SAS_2_5	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_5	5_RWR_2_5	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX2	10_QST_1	10_QST_2					
6	NS6			A	YE	21	SAS_1_6	SAS_2_6	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_6	5_RWR_2_6	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX3	10_QST_1	10_QST_2					
7	NS7			A	YE	20	SAS_1_7	SAS_2_7	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_7	5_RWR_2_7	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
8	NS8			A	YE	20	SAS_1_8	SAS_2_8	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_8	5_RWR_2_8	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX2	10_QST_1	10_QST_2					
9	NS10			A	YE	20	SAS_1_10	SAS_2_10	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_10	5_RWR_2_10	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
10	NS13			A	YE	21	SAS_1_13	SAS_2_13	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_13	5_RWR_2_13	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
11	NS14			A	YE	19	SAS_1_14	SAS_2_14	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_14	5_RWR_2_14	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX2	10_QST_1	10_QST_2					
12	NS15			A	YE	20	SAS_1_15	SAS_2_15	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_15	5_RWR_2_15	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX3	10_QST_1	10_QST_2					
13	NS16			A	YE	20	SAS_1_16	SAS_2_16	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_16	5_RWR_2_16	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
14	NS17			A	YE	22	SAS_1_17	SAS_2_17	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_17	5_RWR_2_17	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX2	10_QST_1	10_QST_2					
15	NS19			A	YE	20	SAS_1_19	SAS_2_19	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_19	5_RWR_2_19	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
16	NS20			A	YE	21	SAS_1_20	SAS_2_20	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_20	5_RWR_2_20	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX2	10_QST_1	10_QST_2					
17	NS21			A	YE	20	SAS_1_21	SAS_2_21	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_21	5_RWR_2_21	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX3	10_QST_1	10_QST_2					
18	NS24			A	PL	19	SAS_1_24	SAS_2_24	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_24	5_RWR_2_24	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX3	10_QST_1	10_QST_2					
19	S1			A	SA	25	SAS_1_1	SAS_2_1	2_FST	3_NUM	4_CWR_1	4_CWR_2	5_RWR_1_1	5_RWR_2_1	6_PAR_1	6_PAR_2	7_PDW_1	7_PDW_2	LST1	LSX1	10_QST_1	10_QST_2					
