srj_001	بسم الله الرحمن الرحيم والصلاة والسلام على اشرف الأنبياء والمرسلين
srj_002	قال تعالى وأعدوا لهم ما استطعتم من قوة ومن رباط الخيل ترهبون به عدو الله وعدوكم وآخرين من دونهم لا تعلمونهم والله يعلمهم وما تنفقوا من شيء في سبيل الله يوفى إليكم وانتم لا تظلمون صدق الله العظيم
srj_003	أيها المواطنون أيتها المواطنات السلام عليكم ورحمة الله وبركاته
srj_004	أحدثكم اليوم ونحن نواجه جميعا العديد من التحديات والصعوبات
srj_005	كما تعلمون إن المجلس الرئاسي ولد من رحم اتفاق سياسي شاق ووعر بين الليبيين آملين ان ينهي حقبة مؤلمة من تاريخ ليبيا المعاصر
srj_006	ان معاناة شعبنا دخلت منعطفا خطيرا بأزمات انسانية واقتصادية وأمنية اصبحت جزء من تفاصيل الحياة اليومية للمواطن الليبي
srj_007	وفوق هذا كله يأتي سرطان الإرهاب المتمثل في تنظيم الدولة داعش
srj_008	يتوغل ويتمدد في البلاد ليقطع أوصال الوطن مستفيدا من الصراع والاقتتال بين أبناء الوطن الواحد
srj_009	هذه الأزمات هي التي تدعونا اليوم إلى التحرك والعمل سريعا للتصدي لهذه التحديات ولن ننجح في ذلك دون بناء شراكة قوية ومتينة
srj_010	ومن هنا اجدد الدعوة لكل الذين لم ينظموا لركب الوفاق الوطني أن يضعوا الخلافات جانبا ونتحد لتخليص شعبنا من هذا الداء
srj_011	التاريخ لن يرحم ودماء أبنائنا التي تسقط كل يوم هو بسبب تشتت الجهود وخلافات سياسية ضيقة من البعض
srj_012	كفانا عبث فكلنا شركاء الوطن ويجمعنا مصير واحد
srj_013	من هذا المنطلق ومن باب المسؤولية الوطنية والأخلاقية التي ارتضيت ان اتحملها أنا وزملائي بالمجلس الرئاسي
srj_014	ولدفع الضرر وحماية المدنيين ولوقف استنزاف أرواح ابنائنا في مدن ليبيا وبالأخص مدينة سرت الجريحة والتي كان آخرها سقوط اثنا عشر شهيدا دفعة واحدة
srj_015	نظرا لاستعمال العدو تقنيات ومعدات فتاكة ومتطورة وتمترسه في أماكن حيوية واستراتيجية
srj_016	والتزاما منا بما ورد في الاتفاق السياسي الليبي والصلاحيات الممنوحة لنا بشأن مكافحة ارهاب هذا التنظيم بالتعاون مع المجتمع الدولي
srj_017	فقد قررنا تفعيل مشاركتنا في التحالف الاسلامي والانضمام للتحالف الدولي لمحاربة تنظيم الدولة داعش
srj_018	هذان التحالفان اللذان  يضمان اكثر من سبعين دولة عربية واسلامية واجنبية
srj_019	حيث تأتي هذه الخطوة لإيماننا بأنه حان الوقت لوفاء المجتمع الدولي لوعوده والتزاماته للشعب الليبي وحكومة الوفاق الوطني
srj_020	في هذا الصدد واستجابة لطلب قيادة غرفة عمليات البنيان المرصوص وبالتشاور مع وزير الدفاع
srj_021	وقد قرر المجلس الرئاسي بصفته القائد الأعلى للجيش الليبي على طلب دعم مباشر من الولايات المتحدة الأمريكية لتوجيه ضربات جوية محددة لمعاقل تنظيم الدولة داعش في مدينة سرت وضواحيها
srj_022	بالتنسيق المباشر مع المجلس الرئاسي وقيادة غرفة العمليات
srj_023	وبالفعل فقد بدأت اولى هذه الضربات هذا اليوم على مواقع محددة في مدينة سرت محدثة خسائر فادحة في صفوف العدو وآلياته
srj_024	وبذلك استطاعت قواتنا الميدانية السيطرة على مواقع مهمة واستراتيجية لتتقدم بخطى ثابتة والحفاظ على ارواح مقاتلينا الأشاوس
srj_025	وسيقوم المكتب الاعلامي لغرفة البنيان المرصوص بموافاتكم بتفاصيل اكثر عن هذه العمليات ونتائجها
srj_026	ايها المواطنون ايتها المواطنات اود بهذه المناسبة التأكيد بما لا يدعو للشك ان العمليات في هذه المرحلة تأتي في اطار زمني محدد ولن تتجاوز مدينة سرت وضواحيها
srj_027	ونحن اذ طلبنا هذا الدعم الجوي من التحالف الدولي وعلى رأسها الولايات المتحدة الأمريكية
srj_028	أؤكد انه لن يكون هناك اي تواجد عسكري قتالي على الأرض وسيقتصر اي تواجد ان احتاج الأمر الدعم الفني واللوجستي فقط
srj_029	ونكرر من هنا رفضنا التام لتدخل اي دولة اي كانت او محاولة انتهاك السيادة الوطنية
srj_030	وان اي دعم مقدم يجب ان يكون بطلب مباشر من حكومة الوفاق الوطني ولا نسمح بأي عمل يقدم لجهات خارجة عن هذه الشرعية تحت اي مسمى حتى لو كان في اطار مكافحة تنظيم الدولة
srj_031	ان ليبيا ليست بمعزل عن العالم وكلنا يشهد كيف ان دول بكل امكانياتها وعتادها تواجه هذا التنظيم ولم تستطيع بعد القضاء عليه
srj_032	ان هدفنا الوحيد من هذه الحرب هو القضاء على هذا التنظيم الوافد علينا من الخارج واجتثاثه
srj_033	ولذا وجب على كل الدول ايضا عدم ترك شباب ليبيا يواجه هذا العدو بمفرده ونيابة عنه
srj_034	من هنا اجدد التحية والتقدير لكل الدول التي تساند الشعب الليبي في هذه المحنة
srj_035	فنحن لا نرغب ان تصبح بلدنا بؤرة توتر او حاضنة ومصدرة للإرهاب فتهدد الامن القومي لدول الجوار والعالم
srj_036	في الختام اترحم على ارواح كل شهدائنا واتمنى الشفاء العاجل لجرحانا في انحاء ليبيا شرقا وغربا شمالا وجنوبا
srj_037	الذين يسطرون ملاحم العزة والبطولة والانتصار في مواجهة هذا التنظيم الباغي الدخيل على امتنا العربية والاسلامية
srj_038	وفقك وفقنا الله جميعا وسدد خطانا وحتى نصر قريب والسلام عليكم ورحمة الله وبركاته
